full_id,unique_id,source_plot,source_plot_label,buried_plot,plant,treatment ,depth_cm,mesh_size_µm,subsample,initial_mass_roots_g,end_mass_roots_g,mass_lost_g
DJ_001_C.lax_8M_sourceM_mesh20_ss1,DJ_001,C_laxum_M,M,M,grass,home,5.08,20,ss1,2.03,1.32,0.71
DJ_002_C.lax_8M_sourceM_mesh20_ss2,DJ_002,C_laxum_M,M,M,grass,home,5.08,20,ss2,2.03,1.19,0.84
DJ_003_C.lax_8M_sourceM_mesh200_ss1,DJ_003,C_laxum_M,M,M,grass,home,5.08,200,ss1,2.03,1.25,0.78
DJ_004_C.lax_8M_sourceM_mesh200_ss2,DJ_004,C_laxum_M,M,M,grass,home,5.08,200,ss2,2.01,1.41,0.6
DJ_005_C.lax_8M_sourceMF_mesh20_ss1,DJ_005,C_laxum_MF,MF,M,grass,away ,5.08,20,ss1,2.04,1.49,0.55
DJ_006_C.lax_8M_sourceMF_mesh20_ss2,DJ_006,C_laxum_MF,MF,M,grass,away ,5.08,20,ss2,2.02,1.34,0.68
DJ_007_C.lax_8M_sourceMF_mesh200_ss1,DJ_007,C_laxum_MF,MF,M,grass,away ,5.08,200,ss1,2.04,1.23,0.81
DJ_008_C.lax_8M_sourceMF_mesh200_ss2,DJ_008,C_laxum_MF,MF,M,grass,away ,5.08,200,ss2,2.08,0.58,1.5
DJ_009_C.lax_8MF_sourceM_mesh20_ss1,DJ_009,C_laxum_M,M,MF,grass,away ,5.08,20,ss1,2.07,1.18,0.89
DJ_010_C.lax_8MF_sourceM_mesh20_ss2,DJ_010,C_laxum_M,M,MF,grass,away ,5.08,20,ss2,2.06,1.44,0.62
DJ_011_C.lax_8MF_sourceM_mesh200_ss1,DJ_011,C_laxum_M,M,MF,grass,away ,5.08,200,ss1,2.03,1.39,0.64
DJ_012_C.lax_8MF_sourceM_mesh200_ss2,DJ_012,C_laxum_M,M,MF,grass,away ,5.08,200,ss2,2.01,1.2,0.81
DJ_013_C.lax_8MF_sourceMF_mesh20_ss1,DJ_013,C_laxum_MF,MF,MF,grass,home,5.08,20,ss1,2.01,1.38,0.63
DJ_014_C.lax_8MF_sourceMF_mesh20_ss2,DJ_014,C_laxum_MF,MF,MF,grass,home,5.08,20,ss2,2.08,1.29,0.79
DJ_015_C.lax_8MF_sourceMF_mesh200_ss1,DJ_015,C_laxum_MF,MF,MF,grass,home,5.08,200,ss1,2.06,1.37,0.69
DJ_016_C.lax_8MF_sourceMF_mesh200_ss2,DJ_016,C_laxum_MF,MF,MF,grass,home,5.08,200,ss2,2.04,1.35,0.69
DJ_017_R.cop_8M_sourceM_mesh20_ss1,DJ_017,R_cop_M,M,M,shrub,home,5.08,20,ss1,2.02,1.46,0.56
DJ_018_R.cop_8M_sourceM_mesh20_ss2,DJ_018,R_cop_M,M,M,shrub,home,5.08,20,ss2,2.01,1.1,0.91
DJ_019_R.cop_8M_sourceM_mesh200_ss1,DJ_019,R_cop_M,M,M,shrub,home,5.08,200,ss1,2.06,1.43,0.63
DJ_020_R.cop_8M_sourceM_mesh200_ss2,DJ_020,R_cop_M,M,M,shrub,home,5.08,200,ss2,2.04,1.36,0.68
DJ_021_R.cop_8M_sourceMF_mesh20_ss1,DJ_021,R_cop_MF,MF,M,shrub,away ,5.08,20,ss1,2.06,1.11,0.95
DJ_022_R.cop_8M_sourceMF_mesh20_ss2,DJ_022,R_cop_MF,MF,M,shrub,away ,5.08,20,ss2,2.04,1.28,0.76
DJ_023_R.cop_8M_sourceMF_mesh200_ss1,DJ_023,R_cop_MF,MF,M,shrub,away ,5.08,200,ss1,2,0.94,1.06
DJ_024_R.cop_8M_sourceMF_mesh200_ss2,DJ_024,R_cop_MF,MF,M,shrub,away ,5.08,200,ss2,2.08,0.92,1.16
DJ_025_R.cop_8MF_sourceM_mesh20_ss1,DJ_025,R_cop_M,M,MF,shrub,away ,5.08,20,ss1,2.06,1.41,0.65
DJ_026_R.cop_8MF_sourceM_mesh20_ss2,DJ_026,R_cop_M,M,MF,shrub,away ,5.08,20,ss2,2.06,1.4,0.66
DJ_027_R.cop_8MF_sourceM_mesh200_ss1,DJ_027,R_cop_M,M,MF,shrub,away ,5.08,200,ss1,2.07,1.47,0.6
DJ_028_R.cop_8MF_sourceM_mesh200_ss2,DJ_028,R_cop_M,M,MF,shrub,away ,5.08,200,ss2,2.08,1.13,0.95
DJ_029_R.cop_8MF_sourceMF_mesh20_ss1,DJ_029,R_cop _MF,MF,MF,shrub,home,5.08,20,ss1,2,0.85,1.15
DJ_030_R.cop_8MF_sourceMF_mesh20_ss2,DJ_030,R_cop_MF,MF,MF,shrub,home,5.08,20,ss2,2.06,0.76,1.3
DJ_031_R.cop_8MF_sourceMF_mesh200_ss1,DJ_031,R_cop_MF,MF,MF,shrub,home,5.08,200,ss1,2.05,1.25,0.8
DJ_032_R.cop_8MF_sourceMF_mesh200_ss2,DJ_032,R_cop_MF,MF,MF,shrub,home,5.08,200,ss2,2.06,1.13,0.93
DJ_033_C.lax_6M_sourceM_mesh20_ss1,DJ_033,C_ laxum_M,M,M,grass,home,5.08,20,ss1,2,1.46,0.54
